"year","date","drought","avgSM","seSM"
"2019",2019-04-19,0,27.9722222222222,1.43956251423453
"2019",2019-04-19,25,26.6111111111111,2.16720790960553
"2019",2019-04-19,50,27.9222222222222,2.93881012286803
"2019",2019-04-19,75,27.6,2.71559283480503
"2019",2019-04-19,99,28.4111111111111,3.15557022688295
"2019",2019-04-26,0,30.7704615133333,1.03568925239179
"2019",2019-04-26,25,31.6834407077778,1.78420015853264
"2019",2019-04-26,50,29.2662196066667,2.05112656167719
"2019",2019-04-26,75,23.2840321388889,1.23487935396935
"2019",2019-04-26,99,16.9192629111111,1.3822105438962
"2019",2019-05-02,0,33.1888888888889,2.03870856355609
"2019",2019-05-02,25,35.3111111111111,2.73762084687317
"2019",2019-05-02,50,31.4777777777778,2.66373681642171
"2019",2019-05-02,75,32.1555555555556,3.37297721733219
"2019",2019-05-02,99,31.7444444444444,3.32733256157371
"2019",2019-05-09,0,36.1613862688889,1.51578117944864
"2019",2019-05-09,25,30.3096243988889,2.00244711884823
"2019",2019-05-09,50,27.3359207444444,1.19423136815137
"2019",2019-05-09,75,18.4495899377778,1.06506253617146
"2019",2019-05-09,99,12.6934735065556,1.70887953435184
"2019",2019-05-19,0,27.5722222222222,1.88726044760524
"2019",2019-05-19,25,25.0222222222222,2.41095749638659
"2019",2019-05-19,50,24.9222222222222,2.00629410839556
"2019",2019-05-19,75,23.0222222222222,2.67876307368499
"2019",2019-05-19,99,17.3,2.52300526268883
"2019",2019-05-20,0,37.9177843338889,1.20746194970879
"2019",2019-05-20,25,32.8485760577778,1.47493098855136
"2019",2019-05-20,50,29.3531700066667,1.60264941853348
"2019",2019-05-20,75,19.47560465,1.37249490778761
"2019",2019-05-20,99,8.81548569922222,1.44883997308994
"2019",2019-05-28,0,43.2913190105556,1.11533015788129
"2019",2019-05-28,25,40.2567500744444,2.69529408086111
"2019",2019-05-28,50,37.9612595366667,1.43249298424265
"2019",2019-05-28,75,20.84942096,1.46668081931897
"2019",2019-05-28,99,8.69375514,1.013224014901
"2019",2019-06-03,0,27.5333333333333,1.43920366506707
"2019",2019-06-03,25,27.8444444444444,2.90918617443622
"2019",2019-06-03,50,28.7222222222222,2.30294363428983
"2019",2019-06-03,75,27.2111111111111,2.71469480812016
"2019",2019-06-03,99,26.8444444444444,1.79668762442253
"2019",2019-06-10,0,27.7532826605556,1.20610394073979
"2019",2019-06-10,25,19.0408526544444,2.12877592459965
"2019",2019-06-10,50,13.562977499,1.33468154821894
"2019",2019-06-10,75,9.12850713711111,1.14774527044508
"2019",2019-06-10,99,6.29392412055556,1.06899495685616
"2019",2019-06-14,0,13.7611111111111,1.82953508307133
"2019",2019-06-14,25,13.9333333333333,2.85506372764057
"2019",2019-06-14,50,16.6444444444444,2.72121863586841
"2019",2019-06-14,75,13.8444444444444,3.11814185725655
"2019",2019-06-14,99,16.3,3.37498971191848
"2019",2019-06-24,0,22.87960217,1.32634235869744
"2019",2019-06-24,25,17.785267157,1.76566618583251
"2019",2019-06-24,50,14.0567172786111,1.69735180830768
"2019",2019-06-24,75,11.5086557681111,1.68497878502747
"2019",2019-06-24,99,9.32090510377778,1.49766857489036
"2019",2019-07-08,0,22.4960045061111,2.20407405051739
"2019",2019-07-08,25,18.8999454505556,2.60039615721546
"2019",2019-07-08,50,22.5169488816667,2.37174798932936
"2019",2019-07-08,75,16.8302519532778,2.10335646570647
"2019",2019-07-08,99,15.0574471344444,1.7567982860421
"2019",2019-07-19,0,34.8310451605556,1.56272987378159
"2019",2019-07-19,25,28.4141056933333,2.3591936356122
"2019",2019-07-19,50,28.9358080911111,1.72203504136853
"2019",2019-07-19,75,18.8669518565556,2.66001437774058
"2019",2019-07-19,99,12.7978139868889,2.0338216964815
"2019",2019-07-23,0,16.8666666666667,1.97114810113327
"2019",2019-07-23,25,19.7777777777778,3.37666739790128
"2019",2019-07-23,50,16.8888888888889,2.70716356504391
"2019",2019-07-23,75,16.2222222222222,2.7138419761668
"2019",2019-07-23,99,16.5888888888889,2.8178224672236
"2019",2019-08-05,0,10.1197416888333,0.955039820743363
"2019",2019-08-05,25,5.21573916944444,0.675700274546562
"2019",2019-08-05,50,5.68527132566667,1.49187730502097
"2019",2019-08-05,75,7.59818011,1.78788289716352
"2019",2019-08-05,99,4.17233437811111,0.817009937486527
"2019",2019-08-09,0,19.65,1.77620896874596
"2019",2019-08-09,25,13.6777777777778,1.82450737474361
"2019",2019-08-09,50,14.5222222222222,2.39917681355836
"2019",2019-08-09,75,8.3,1.53106716595539
"2019",2019-08-09,99,7.67777777777778,1.93058553134202
"2019",2019-08-18,0,21.4777777777778,2.40040241119218
"2019",2019-08-18,25,19.4222222222222,3.03268206276675
"2019",2019-08-18,50,15.0222222222222,2.63084153085925
"2019",2019-08-18,75,13.1444444444444,2.07432124849921
"2019",2019-08-18,99,10.7444444444444,1.69665611580799
"2019",2019-08-27,0,10.8555555555556,1.17354338088198
"2019",2019-08-27,25,8.78888888888889,1.14022956319775
"2019",2019-08-27,50,9.65555555555556,1.1958389792098
"2019",2019-08-27,75,8.22222222222222,1.35069712224813
"2019",2019-08-27,99,7.07777777777778,1.29880049124159
"2019",2019-08-28,0,12.5630479085556,1.11981892272915
"2019",2019-08-28,25,9.12850713722222,1.36940667963553
"2019",2019-08-28,50,7.841641227,1.13185910057976
"2019",2019-08-28,75,9.26762777611111,1.03864790514479
"2019",2019-08-28,99,9.02416665788889,0.887660950715565
"2019",2019-09-10,0,8.51985434188889,0.845670040466216
"2019",2019-09-10,25,5.998292763,0.374391901133909
