"site","year","block","plot","avg_annual_kg_h","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021"
"FK",2019,3,37,544.5,1,75,"MLLMM","destock",50,30,30
"FK",2019,3,38,570.5,1,25,"MLLMM","destock",50,30,30
"FK",2019,3,39,2072.5,1,0,"MLLMM","destock",50,30,30
"FK",2019,3,40,337.5,1,99,"MLLMM","destock",50,30,30
"FK",2019,3,41,578,1,0,"MLLMM","destock",50,30,30
"FK",2019,3,42,537.5,1,50,"MLLMM","destock",50,30,30
"FK",2019,3,43,528.5,2,0,"MMMMM","stable",50,50,50
"FK",2019,3,44,309.5,2,25,"MMMMM","stable",50,50,50
"FK",2019,3,45,384,2,50,"MMMMM","stable",50,50,50
"FK",2019,3,46,258.5,2,75,"MMMMM","stable",50,50,50
"FK",2019,3,47,237,2,99,"MMMMM","stable",50,50,50
"FK",2019,3,48,844.5,2,0,"MMMMM","stable",50,50,50
"FK",2019,3,49,701,3,50,"HHMMM","heavy",70,70,50
"FK",2019,3,50,609.5,3,25,"HHMMM","heavy",70,70,50
"FK",2019,3,51,430,3,99,"HHMMM","heavy",70,70,50
"FK",2019,3,52,451.5,3,0,"HHMMM","heavy",70,70,50
"FK",2019,3,53,598,3,0,"HHMMM","heavy",70,70,50
"FK",2019,3,54,633.5,3,75,"HHMMM","heavy",70,70,50
"FK",2020,1,1,672.5,1,75,"MMMMM","stable",50,50,50
"FK",2020,1,2,468.5,1,99,"MMMMM","stable",50,50,50
"FK",2020,1,3,593.5,1,0,"MMMMM","stable",50,50,50
"FK",2020,1,4,422.5,1,0,"MMMMM","stable",50,50,50
"FK",2020,1,5,841.5,1,50,"MMMMM","stable",50,50,50
"FK",2020,1,6,417.5,1,25,"MMMMM","stable",50,50,50
"FK",2020,1,7,490,2,0,"HHMMM","heavy",70,70,50
"FK",2020,1,8,650,2,75,"HHMMM","heavy",70,70,50
"FK",2020,1,9,1260,2,0,"HHMMM","heavy",70,70,50
"FK",2020,1,10,377,2,99,"HHMMM","heavy",70,70,50
"FK",2020,1,11,760,2,50,"HHMMM","heavy",70,70,50
"FK",2020,1,12,1297,2,25,"HHMMM","heavy",70,70,50
"FK",2020,1,13,142.5,3,50,"MLLMM","destock",50,30,30
"FK",2020,1,14,89,3,75,"MLLMM","destock",50,30,30
"FK",2020,1,15,470,3,0,"MLLMM","destock",50,30,30
"FK",2020,1,16,496.5,3,25,"MLLMM","destock",50,30,30
"FK",2020,1,17,371.5,3,0,"MLLMM","destock",50,30,30
"FK",2020,1,18,302,3,99,"MLLMM","destock",50,30,30
"FK",2020,2,19,987,1,50,"MLLMM","destock",50,30,30
"FK",2020,2,20,457.5,1,0,"MLLMM","destock",50,30,30
"FK",2020,2,21,649.5,1,99,"MLLMM","destock",50,30,30
"FK",2020,2,22,543.5,1,75,"MLLMM","destock",50,30,30
"FK",2020,2,23,335.5,1,0,"MLLMM","destock",50,30,30
"FK",2020,2,24,485,1,25,"MLLMM","destock",50,30,30
"FK",2020,2,25,570,2,0,"MMMMM","stable",50,50,50
"FK",2020,2,26,282.55,2,75,"MMMMM","stable",50,50,50
"FK",2020,2,27,206.5,2,50,"MMMMM","stable",50,50,50
"FK",2020,2,28,340,2,99,"MMMMM","stable",50,50,50
"FK",2020,2,29,358.5,2,0,"MMMMM","stable",50,50,50
"FK",2020,2,30,563.5,2,25,"MMMMM","stable",50,50,50
"FK",2020,2,31,432,3,99,"HHMMM","heavy",70,70,50
"FK",2020,2,32,429.5,3,25,"HHMMM","heavy",70,70,50
"FK",2020,2,33,468.5,3,75,"HHMMM","heavy",70,70,50
"FK",2020,2,34,344.5,3,0,"HHMMM","heavy",70,70,50
"FK",2020,2,35,304,3,50,"HHMMM","heavy",70,70,50
"FK",2020,2,36,682.5,3,0,"HHMMM","heavy",70,70,50
"FK",2020,3,37,626.5,1,75,"MLLMM","destock",50,30,30
"FK",2020,3,38,864.5,1,25,"MLLMM","destock",50,30,30
"FK",2020,3,39,598.5,1,0,"MLLMM","destock",50,30,30
"FK",2020,3,40,399.5,1,99,"MLLMM","destock",50,30,30
"FK",2020,3,41,102,1,0,"MLLMM","destock",50,30,30
"FK",2020,3,42,192,1,50,"MLLMM","destock",50,30,30
"FK",2020,3,43,964.5,2,0,"MMMMM","stable",50,50,50
"FK",2020,3,44,233.5,2,25,"MMMMM","stable",50,50,50
"FK",2020,3,45,695.85,2,50,"MMMMM","stable",50,50,50
"FK",2020,3,46,248.5,2,75,"MMMMM","stable",50,50,50
"FK",2020,3,47,260,2,99,"MMMMM","stable",50,50,50
"FK",2020,3,48,3984,2,0,"MMMMM","stable",50,50,50
"FK",2020,3,49,634.5,3,50,"HHMMM","heavy",70,70,50
"FK",2020,3,50,384.5,3,25,"HHMMM","heavy",70,70,50
"FK",2020,3,51,186.5,3,99,"HHMMM","heavy",70,70,50
"FK",2020,3,52,500.2,3,0,"HHMMM","heavy",70,70,50
"FK",2020,3,53,268.5,3,0,"HHMMM","heavy",70,70,50
"FK",2020,3,54,313,3,75,"HHMMM","heavy",70,70,50
"FK",2021,1,1,88.5,1,75,"MMMMM","stable",50,50,50
"FK",2021,1,2,77,1,99,"MMMMM","stable",50,50,50
"FK",2021,1,3,127,1,0,"MMMMM","stable",50,50,50
"FK",2021,1,4,102,1,0,"MMMMM","stable",50,50,50
"FK",2021,1,5,55.5,1,50,"MMMMM","stable",50,50,50
"FK",2021,1,6,347.5,1,25,"MMMMM","stable",50,50,50
"FK",2021,1,7,36.5,2,0,"HHMMM","heavy",70,70,50
"FK",2021,1,8,227.5,2,75,"HHMMM","heavy",70,70,50
"FK",2021,1,9,79.5,2,0,"HHMMM","heavy",70,70,50
"FK",2021,1,10,354.5,2,99,"HHMMM","heavy",70,70,50
"FK",2021,1,11,341,2,50,"HHMMM","heavy",70,70,50
"FK",2021,1,12,138,2,25,"HHMMM","heavy",70,70,50
"FK",2021,1,13,15,3,50,"MLLMM","destock",50,30,30
"FK",2021,1,14,8,3,75,"MLLMM","destock",50,30,30
"FK",2021,1,15,178,3,0,"MLLMM","destock",50,30,30
"FK",2021,1,16,52.5,3,25,"MLLMM","destock",50,30,30
"FK",2021,1,17,443.5,3,0,"MLLMM","destock",50,30,30
"FK",2021,1,18,108.5,3,99,"MLLMM","destock",50,30,30
"FK",2021,2,19,167.125,1,50,"MLLMM","destock",50,30,30
"FK",2021,2,20,70.2,1,0,"MLLMM","destock",50,30,30
"FK",2021,2,21,28,1,99,"MLLMM","destock",50,30,30
"FK",2021,2,22,216.825,1,75,"MLLMM","destock",50,30,30
"FK",2021,2,23,100.9,1,0,"MLLMM","destock",50,30,30
"FK",2021,2,24,98,1,25,"MLLMM","destock",50,30,30
"FK",2021,2,25,16.5,2,0,"MMMMM","stable",50,50,50
"FK",2021,2,26,49.5,2,75,"MMMMM","stable",50,50,50
"FK",2021,2,27,23.5,2,50,"MMMMM","stable",50,50,50
"FK",2021,2,28,15.5,2,99,"MMMMM","stable",50,50,50
"FK",2021,2,29,98.5,2,0,"MMMMM","stable",50,50,50
"FK",2021,2,30,56.5,2,25,"MMMMM","stable",50,50,50
"FK",2021,2,31,20,3,99,"HHMMM","heavy",70,70,50
"FK",2021,2,32,34,3,25,"HHMMM","heavy",70,70,50
"FK",2021,2,33,81,3,75,"HHMMM","heavy",70,70,50
"FK",2021,2,34,35,3,0,"HHMMM","heavy",70,70,50
"FK",2021,2,35,168.5,3,50,"HHMMM","heavy",70,70,50
"FK",2021,2,36,18.5,3,0,"HHMMM","heavy",70,70,50
"FK",2021,3,37,158,1,75,"MLLMM","destock",50,30,30
"FK",2021,3,38,22.5,1,25,"MLLMM","destock",50,30,30
"FK",2021,3,39,55.5,1,0,"MLLMM","destock",50,30,30
"FK",2021,3,40,62,1,99,"MLLMM","destock",50,30,30
"FK",2021,3,41,25,1,0,"MLLMM","destock",50,30,30
"FK",2021,3,42,54,1,50,"MLLMM","destock",50,30,30
"FK",2021,3,43,245,2,0,"MMMMM","stable",50,50,50
"FK",2021,3,44,139,2,25,"MMMMM","stable",50,50,50
"FK",2021,3,45,92.5,2,50,"MMMMM","stable",50,50,50
"FK",2021,3,46,156.5,2,75,"MMMMM","stable",50,50,50
"FK",2021,3,47,86,2,99,"MMMMM","stable",50,50,50
"FK",2021,3,48,420,2,0,"MMMMM","stable",50,50,50
"FK",2021,3,49,75.5,3,50,"HHMMM","heavy",70,70,50
"FK",2021,3,50,82.5,3,25,"HHMMM","heavy",70,70,50
"FK",2021,3,51,18,3,99,"HHMMM","heavy",70,70,50
"FK",2021,3,52,20.5,3,0,"HHMMM","heavy",70,70,50
"FK",2021,3,53,4.5,3,0,"HHMMM","heavy",70,70,50
"FK",2021,3,54,29,3,75,"HHMMM","heavy",70,70,50
